Age,Sex,Height_cm,Weight_kg,Wrist_cm,Waist_cm,Hip_cm,Neck_cm,UpperArm_cm,Thigh_cm,Calf_cm,Forearm_cm,Chest_cm,Shoulder_cm,Ankle_cm,Bicep_cm,BodyFatPct,MuscleMass_kg,bmi,bsa_mosteller,fat_mass_kg,lean_mass_kg,fat_mass_index,ffmi,waist_hip_ratio,waist_height_ratio,body_adiposity_index,conicity_index,abdominal_volume_index,waist_neck_ratio,upper_lower_limb_ratio,calf_thigh_ratio,arm_trunk_ratio,forearm_upper_arm_ratio,shoulder_waist_ratio,hip_waist_difference,chest_waist_ratio,frame_size_index,relative_muscle_mass,muscle_to_fat_ratio,skeletal_muscle_index,bicep_to_wrist_ratio,calf_muscle_index
57.0,f,160.0,80.2,15.0,98.0,130.0,33.2,43.0,74.9,36.0,26.0,105.0,40.0,28.0,30.0,44.0,,31.328124999999996,1.887973634467506,35.288000000000004,44.912,13.784374999999999,17.543749999999996,0.7538461538461538,0.6125,46.23376497217019,126.99083679183848,19.924799999999998,2.9518072289156625,0.5740987983978638,0.48064085447263016,0.4387755102040816,0.6046511627906976,0.40816326530612246,32.0,1.0714285714285714,9.375,,,,2.0,22.5
44.0,f,65.1,944.0,18.0,99.0,,35.0,38.0,74.1,34.0,23.0,110.0,42.0,23.7,30.0,47.4,36.2,2227.46052982414,4.1316663305096,447.45599999999996,496.54400000000004,1055.8162911366421,1171.6442386874976,,1.5207373271889402,,23.851362543954117,,2.8285714285714287,0.5128205128205129,0.4588394062078273,0.3838383838383838,0.6052631578947368,0.42424242424242425,,1.1111111111111112,27.64976958525346,3.834745762711865,0.08090180933991277,85.41744828351045,1.6666666666666667,52.22734254992319
68.0,M,171.0,152.6,20.0,148.0,132.1,39.5,50.0,70.0,,29.2,150.0,45.0,25.0,46.0,58.0,50.7,52.186997708696694,2.692303846151099,88.508,64.092,30.268458671044083,21.918539037652614,1.1203633610900834,0.8654970760233918,41.075669482068626,143.7328396709137,43.984967,3.7468354430379747,0.7142857142857143,,0.33783783783783783,0.584,0.30405405405405406,-15.900000000000006,1.0135135135135136,11.695906432748536,33.224115334207085,0.5728295747277083,17.3386683081974,2.3,
50.0,Male,165.0,67.0,16.0,118.0,99.0,41.0,38.4,63.9,38.0,30.0,99.0,48.7,23.0,40.1,21.0,25.3,24.609733700642796,1.7523793348853818,14.07,52.93,5.1680440771349865,19.441689623507806,1.1919191919191918,0.7151515151515152,28.709936649691386,169.88697372297005,28.1007,2.8780487804878048,0.6009389671361502,0.594679186228482,0.3254237288135593,0.78125,0.4127118644067797,-19.0,0.8389830508474576,9.696969696969697,37.76119402985075,1.7981520966595594,9.292929292929294,2.50625,23.03030303030303
42.0,Female,145.0,59.0,13.0,118.0,123.0,36.3,28.0,47.0,35.7,27.0,89.0,31.0,20.0,26.7,38.0,24.5,28.061831153388823,1.5415540499408023,22.42,36.58,10.663495838287753,17.39833531510107,0.959349593495935,0.8137931034482758,52.44547601386218,169.71237247054702,27.8655,3.25068870523416,0.5957446808510638,0.7595744680851064,0.23728813559322035,0.9642857142857143,0.2627118644067797,5.0,0.7542372881355932,8.96551724137931,41.52542372881356,1.0927743086529884,11.652794292508919,2.0538461538461537,24.620689655172416
57.0,f,155.0,72.0,16.7,103.0,118.0,34.1,31.0,64.0,41.0,25.0,110.2,40.0,21.0,37.0,40.0,,29.968782518210194,1.760681686165901,28.8,43.2,11.987513007284077,17.98126951092612,0.8728813559322034,0.6645161290322581,43.148310200319266,138.64695235098455,21.3755,3.0205278592375366,0.484375,0.640625,0.30097087378640774,0.8064516129032258,0.3883495145631068,15.0,1.0699029126213593,10.774193548387096,,,,2.215568862275449,26.451612903225808
56.0,M,170.0,75.0,19.0,80.0,88.0,,27.0,67.0,43.0,31.0,114.0,43.0,24.4,38.0,33.0,27.9,25.95155709342561,1.8819316317727024,24.75,50.25,8.564013840830452,17.387543252595158,0.9090909090909091,0.47058823529411764,21.701717069746238,110.49873801234216,12.8448,,0.40298507462686567,0.6417910447761194,0.3375,1.1481481481481481,0.5375,8.0,1.425,11.176470588235295,37.2,1.1272727272727272,9.653979238754326,2.0,25.294117647058822
40.0,f,160.8,65.0,20.0,95.0,95.0,35.0,42.0,55.8,35.0,25.0,104.0,40.0,21.0,23.0,33.6,29.5,25.138610430434888,1.7039170558842744,21.84,43.16,8.446573104626122,16.692037325808762,1.0,0.5907960199004975,28.590196127385425,137.0829529786925,18.05,2.7142857142857144,0.7526881720430108,0.6272401433691757,0.4421052631578947,0.5952380952380952,0.42105263157894735,0.0,1.0947368421052632,12.43781094527363,45.38461538461539,1.3507326007326008,11.40906165688968,1.15,21.766169154228855
32.0,Female,65.4,85.0,6.0,81.0,124.0,34.0,26.0,57.1,39.0,24.0,95.0,38.4,23.0,30.0,55.0,37.1,198.72999841016,1.2426450284239128,46.75000000000001,38.24999999999999,109.30149912558801,89.42849928457198,0.6532258064516129,1.238532110091743,216.45260507208616,65.18353845807033,14.4163,2.3823529411764706,0.4553415061295972,0.6830122591943958,0.32098765432098764,0.9230769230769231,0.47407407407407404,43.0,1.1728395061728396,9.174311926605503,43.64705882352941,0.7935828877005346,86.73979930608161,5.0,59.63302752293578
25.0,FEMALE,156.0,85.0,15.7,120.0,95.0,36.4,36.0,71.6,,30.7,101.3,34.4,24.0,28.0,42.2,32.6,34.927679158448385,1.9192012227313042,35.870000000000005,49.129999999999995,14.739480604865221,20.188198553583167,1.263157894736842,0.7692307692307693,30.756969908600247,149.1446174167878,29.2375,3.296703296703297,0.5027932960893855,,0.3,0.8527777777777777,0.2866666666666667,-25.0,0.8441666666666666,10.064102564102564,38.35294117647059,0.9088374686367438,13.395792241946088,1.78343949044586,
24.4,FEMALE,155.5,85.0,15.7,120.0,95.0,36.3,36.0,71.6,,30.7,101.3,34.4,24.0,28.0,42.2,32.6,35.15265557634847,1.9161231113312573,35.870000000000005,49.129999999999995,14.834420653219057,20.318234923129413,1.263157894736842,0.7717041800643086,30.992321078867796,148.90541178181385,29.2375,3.3057851239669422,0.5027932960893855,,0.3,0.8527777777777777,0.2866666666666667,-25.0,0.8441666666666666,10.096463022508038,38.35294117647059,0.9088374686367438,13.482077315164238,1.78343949044586,
24.0,m,175.0,110.0,15.0,94.4,,51.0,31.0,67.5,48.5,32.1,122.0,48.5,25.0,43.4,31.4,41.8,35.91836734693877,2.3124061542519345,34.54,75.46000000000001,11.278367346938776,24.640000000000004,,0.5394285714285715,,109.23660098150924,,1.8509803921568628,0.45925925925925926,0.7185185185185186,0.32838983050847453,1.035483870967742,0.513771186440678,,1.292372881355932,8.571428571428571,37.99999999999999,1.2101910828025477,13.648979591836733,2.893333333333333,27.714285714285715
73.0,Female,157.0,57.0,16.0,128.0,105.0,33.2,,61.8,35.0,25.0,94.0,40.0,20.0,35.0,50.0,29.8,23.124670372023203,1.5766525721709692,28.5,28.5,11.562335186011602,11.562335186011602,1.2190476190476192,0.8152866242038217,35.37523749624224,194.89283364353844,33.1383,3.8554216867469875,,0.5663430420711975,,,0.3125,-23.0,0.734375,10.191082802547772,52.28070175438596,1.0456140350877192,12.089739948882308,2.1875,22.29299363057325
44.0,M,171.0,119.0,15.0,125.5,105.0,37.0,45.0,61.3,43.1,28.0,135.0,44.0,25.0,33.0,37.0,47.3,40.696282616873575,2.377498685593748,44.03,74.97,15.057624568243222,25.63865804863035,1.1952380952380952,0.7339181286549707,28.956436757132522,138.0199298629321,31.794674999999998,3.391891891891892,0.7340946166394781,0.703099510603589,0.35856573705179284,0.6222222222222222,0.350597609561753,-20.5,1.0756972111553784,8.771929824561402,39.747899159663866,1.0742675448557801,16.175917376286723,2.2,25.2046783625731
41.0,female,157.0,85.0,17.0,110.0,130.0,40.0,29.0,55.0,42.0,11.0,105.0,,21.0,33.0,60.0,36.5,34.484157572315304,1.9253426823411057,51.0,34.0,20.690494543389182,13.793663028926122,0.8461538461538461,0.7006369426751592,48.083627376299916,137.15339129467134,24.48,2.75,0.5272727272727272,0.7636363636363637,0.2636363636363636,0.3793103448275862,,20.0,0.9545454545454546,10.828025477707007,42.94117647058823,0.7156862745098039,14.80790295752363,1.9411764705882353,26.751592356687897
26.0,FEMALE,162.2,60.0,15.0,87.0,86.0,31.9,20.0,53.0,40.0,22.0,93.0,34.0,22.9,37.7,19.0,22.1,22.80602261445203,1.6441816606851365,11.4,48.6,4.3331442967458855,18.472878317706144,1.0116279069767442,0.5363748458692972,23.631511259158074,131.23284814642832,15.1387,2.7272727272727275,0.37735849056603776,0.7547169811320755,0.22988505747126436,1.1,0.39080459770114945,-1.0,1.0689655172413792,9.247842170160297,36.833333333333336,1.9385964912280702,8.400218329656498,2.5133333333333336,24.66091245376079
21.0,Male,171.0,73.0,19.0,121.0,116.0,37.9,27.0,62.0,,30.0,94.0,,22.0,,30.0,30.8,24.96494647925858,1.8621224449536071,21.9,51.1,7.489483943777572,17.475462535481004,1.043103448275862,0.7076023391812866,33.875682512641646,169.90082883452544,29.2995,3.192612137203166,0.43548387096774194,,0.2231404958677686,1.1111111111111112,,-5.0,0.7768595041322314,11.11111111111111,42.19178082191781,1.406392694063927,10.533155500837866,,
24.0,F,170.8,85.1,16.2,86.0,112.0,33.0,38.0,45.0,,29.0,85.0,44.0,9.8,,32.5,34.8,29.171168601813196,2.0093586594289787,27.6575,57.442499999999995,9.480629795589289,19.69053880622391,0.7678571428571429,0.5035128805620609,32.17486621170818,111.77665436942539,15.2652,2.606060606060606,0.8444444444444444,,0.4418604651162791,0.7631578947368421,0.5116279069767442,26.0,0.9883720930232558,9.484777517564403,40.8930669800235,1.2582482147699539,11.928985515195055,,
48.0,f,164.0,75.0,15.0,102.0,110.0,34.0,35.0,59.0,38.0,27.0,90.0,34.6,22.0,27.4,40.0,30.1,27.885187388459254,1.848422751068236,30.0,45.0,11.154074955383702,16.731112433075552,0.9272727272727272,0.6219512195121951,34.375346974837406,138.3773362267597,20.8528,3.0,0.5932203389830508,0.6440677966101694,0.3431372549019608,0.7714285714285715,0.3392156862745098,8.0,0.8823529411764706,9.146341463414634,40.13333333333334,1.0033333333333334,11.191255205234981,1.8266666666666667,23.170731707317074
25.0,M,175.0,218.3,91.0,105.0,112.0,39.0,40.0,69.0,38.8,29.0,105.5,43.7,20.7,46.4,32.9,38.7,71.28163265306122,3.257576638477682,71.82069999999999,146.47930000000002,23.45165714285714,47.829975510204086,0.9375,0.6,30.37945254518108,86.2491765914653,22.0843,2.6923076923076925,0.5797101449275363,0.5623188405797102,0.38095238095238093,0.725,0.4161904761904762,7.0,1.0047619047619047,52.0,17.727897388914336,0.538841865924448,12.636734693877552,0.5098901098901099,22.17142857142857
53.0,male,176.0,85.8,17.5,120.0,46.1,38.3,33.0,54.8,37.0,30.0,109.0,44.0,25.0,36.0,30.0,26.2,27.698863636363637,2.048088539752778,25.74,60.06,8.30965909090909,19.389204545454547,2.6030368763557483,0.6818181818181818,1.743853671924576,157.67666951326962,32.622847,3.133159268929504,0.6021897810218978,0.6751824817518248,0.275,0.9090909090909091,0.36666666666666664,-73.9,0.9083333333333333,9.943181818181818,30.536130536130536,1.017871017871018,8.458161157024794,2.057142857142857,21.022727272727273
45.0,f,160.4,68.4,18.2,111.0,92.2,32.9,26.0,51.0,35.0,23.0,69.0,39.0,19.8,37.0,23.0,24.6,26.58565556184352,1.745737666432159,15.732000000000003,52.668000000000006,6.11470077922401,20.47095478261951,1.2039045553145336,0.6920199501246883,27.38625774549454,155.94469738771096,24.889408,3.3738601823708207,0.5098039215686274,0.6862745098039216,0.23423423423423423,0.8846153846153846,0.35135135135135137,-18.799999999999997,0.6216216216216216,11.346633416458852,35.96491228070175,1.5636918382913805,9.561507702066528,2.032967032967033,21.820448877805486
53.0,m,162.5,67.0,17.0,96.8,108.0,44.6,20.2,52.7,39.7,25.0,120.0,17.7,25.0,31.0,17.0,,25.37278106508876,1.7390530628924339,11.39,55.61,4.313372781065089,21.059408284023668,0.8962962962962963,0.5956923076923076,34.13672023365877,138.3050826958682,18.828288,2.1704035874439462,0.3833017077798861,0.7533206831119544,0.20867768595041322,1.2376237623762376,0.1828512396694215,11.200000000000003,1.2396694214876034,10.461538461538462,,,,1.8235294117647058,24.430769230769233
56.0,female,153.7,90.0,16.0,105.0,120.0,40.0,39.0,68.0,35.0,30.0,97.0,38.4,23.0,36.5,41.0,41.0,38.09735058324927,1.9602295783912658,36.9,53.1,15.619913739132203,22.477436844117072,0.875,0.683148991541965,44.975328963913576,125.88630319943908,22.2075,2.625,0.5735294117647058,0.5147058823529411,0.37142857142857144,0.7692307692307693,0.3657142857142857,15.0,0.9238095238095239,10.40988939492518,45.55555555555556,1.1111111111111112,17.355459710146892,2.28125,22.771633051398833
18.0,MALE,165.0,35.0,15.0,59.9,82.4,33.0,25.0,48.6,42.7,30.0,39.9,41.7,,29.3,5.0,14.5,12.85583103764922,1.2665570127975554,1.75,33.25,0.6427915518824611,12.21303948576676,0.7269417475728155,0.36303030303030304,20.87776545388455,119.31863444284176,7.5303949999999995,1.8151515151515152,0.51440329218107,0.8786008230452675,0.41736227045075125,1.2,0.6961602671118532,22.500000000000007,0.666110183639399,9.090909090909092,41.42857142857143,8.285714285714286,5.325987144168963,1.9533333333333334,25.87878787878788
55.0,m,172.0,194.7,17.0,90.0,107.4,40.0,32.7,71.5,33.0,35.6,117.0,42.0,22.0,35.0,12.9,38.6,65.8126014061655,3.049972677473248,25.1163,169.5837,8.48982558139535,57.32277582477015,0.8379888268156425,0.5232558139534884,29.61147224919111,77.60635019934473,16.411932,2.25,0.4573426573426574,0.46153846153846156,0.36333333333333334,1.0886850152905199,0.4666666666666667,17.400000000000006,1.3,9.883720930232558,19.82537236774525,1.5368505711430427,13.047593293672257,2.0588235294117645,19.186046511627907
54.9,m,172.0,194.7,15.9,90.0,107.4,40.0,32.7,73.3,33.0,35.6,117.0,42.0,22.0,35.0,12.9,38.6,65.8126014061655,3.049972677473248,25.1163,169.5837,8.48982558139535,57.32277582477015,0.8379888268156425,0.5232558139534884,29.61147224919111,77.60635019934473,16.411932,2.25,0.44611186903137795,0.45020463847203274,0.36333333333333334,1.0886850152905199,0.4666666666666667,17.400000000000006,1.3,9.244186046511627,19.82537236774525,1.5368505711430427,13.047593293672257,2.20125786163522,19.186046511627907
64.0,FEMALE,59.8,45.0,14.0,108.6,97.2,30.0,31.4,44.5,36.0,23.0,95.6,40.4,20.0,28.8,20.0,18.5,125.83751859598887,0.8645808232895291,9.0,36.0,25.167503719197775,100.6700148767911,1.1172839506172838,1.8160535117056855,192.19118031301812,114.85440661681082,23.678892,3.6199999999999997,0.7056179775280899,0.8089887640449438,0.289134438305709,0.7324840764331211,0.3720073664825046,-11.399999999999991,0.8802946593001841,23.411371237458194,41.11111111111111,2.0555555555555554,51.73320208946209,2.0571428571428574,60.200668896321076
32.0,m,173.4,79.0,17.6,94.0,95.0,,29.3,58.4,33.4,30.0,105.0,45.0,20.0,28.0,10.0,34.5,26.274163916194066,1.9506836408466306,7.9,71.1,2.627416391619407,23.646747524574657,0.9894736842105263,0.5420991926182237,23.605425276443974,127.76513452996163,17.6727,,0.5017123287671234,0.571917808219178,0.3117021276595745,1.023890784982935,0.4787234042553192,1.0,1.1170212765957446,10.149942329873127,43.67088607594937,4.367088607594937,11.474160191249307,1.5909090909090908,19.261822376009224
24.0,FEMALE,166.0,88.0,16.0,100.0,107.0,37.0,33.0,58.0,40.0,25.0,102.9,37.8,21.0,30.5,50.0,34.1,31.934968790825955,2.014392657298417,44.0,44.0,15.967484395412978,15.967484395412978,0.9345794392523364,0.6024096385542169,32.02897966902267,126.0045448685415,20.034299999999998,2.7027027027027026,0.5689655172413793,0.6896551724137931,0.33,0.7575757575757576,0.37799999999999995,7.0,1.0290000000000001,9.63855421686747,38.75,0.775,12.37480040644506,1.90625,24.096385542168676
45.0,f,169.0,48.6,14.0,88.0,117.0,34.2,27.0,55.0,41.0,19.0,,36.7,19.0,28.2,,,17.0162109169847,1.5104635050208925,,,,,0.7521367521367521,0.5207100591715976,35.25443786982248,150.55021909824276,16.076700000000002,2.573099415204678,0.4909090909090909,0.7454545454545455,0.3068181818181818,0.7037037037037037,0.41704545454545455,29.0,,8.284023668639055,,,,2.0142857142857142,24.2603550295858
47.0,female,164.0,40.0,15.0,55.0,91.0,30.9,25.0,51.4,32.0,22.0,99.0,41.0,18.0,22.0,6.3,17.5,14.872099940511603,1.3498971154211057,2.52,37.48,0.936942296252231,13.935157644259371,0.6043956043956044,0.3353658536585366,25.328696133729125,102.17111194701029,6.957199999999999,1.7799352750809063,0.48638132295719844,0.622568093385214,0.45454545454545453,0.88,0.7454545454545455,36.0,1.8,9.146341463414634,43.75,6.944444444444445,6.506543723973826,1.4666666666666666,19.51219512195122
27.0,MALE,177.0,52.0,15.8,94.0,85.0,37.0,24.8,35.0,35.0,35.0,122.0,45.0,25.0,,25.0,17.0,16.59804015448945,1.5989579940281942,13.0,39.0,4.1495100386223625,12.448530115867086,1.1058823529411765,0.5310734463276836,18.09599569505111,159.10591189694804,17.7287,2.5405405405405403,0.7085714285714286,1.0,0.26382978723404255,1.411290322580645,0.4787234042553192,-9.0,1.297872340425532,8.926553672316384,32.69230769230769,1.3076923076923077,5.426282358198474,,19.774011299435028
27.0,MALE,177.0,52.0,15.8,94.0,85.0,37.0,22.8,35.0,35.0,33.3,122.0,45.0,25.0,,25.0,18.6,16.59804015448945,1.5989579940281942,13.0,39.0,4.1495100386223625,12.448530115867086,1.1058823529411765,0.5310734463276836,18.09599569505111,159.10591189694804,17.7287,2.5405405405405403,0.6514285714285715,1.0,0.24255319148936172,1.4605263157894735,0.4787234042553192,-9.0,1.297872340425532,8.926553672316384,35.76923076923077,1.4307692307692308,5.936991286028919,,19.774011299435028
19.0,f,173.9,94.9,16.0,99.0,112.0,41.0,34.1,64.0,46.0,23.0,112.0,41.7,22.0,34.0,54.0,30.0,31.38101947640322,2.141073847914224,51.24600000000001,43.653999999999996,16.945750517257743,14.43526895914548,0.8839285714285714,0.5692926969522714,30.83921216803939,122.94910776781441,19.720299999999998,2.4146341463414633,0.5328125,0.71875,0.34444444444444444,0.6744868035190615,0.42121212121212126,13.0,1.1313131313131313,9.200690051753881,31.61222339304531,0.5854115443156538,9.920237979895644,2.125,26.45198389879241
68.0,M,169.0,44.6,18.3,38.6,100.0,31.2,29.0,,35.0,28.0,98.3,42.0,,34.0,20.4,,15.6156997304016,1.4469700142788802,9.0984,35.5016,3.185602745001926,12.430096985399674,0.386,0.22840236686390533,27.51661356395084,68.93451584049627,5.618892,1.2371794871794872,,,0.7512953367875648,0.9655172413793104,1.088082901554404,61.4,2.5466321243523313,10.828402366863905,,,,1.8579234972677594,20.710059171597635
43.0,m,171.7,81.0,20.0,105.0,109.0,40.0,37.0,71.0,41.0,25.0,93.0,42.0,52.0,35.0,26.0,28.1,27.475425606214742,1.965515199635963,21.060000000000002,59.94,7.143610657615834,20.331814948598907,0.963302752293578,0.6115317414094351,30.447464727222737,140.25082973956924,22.0612,2.625,0.5211267605633803,0.5774647887323944,0.3523809523809524,0.6756756756756757,0.4,4.0,0.8857142857142857,11.648223645894001,34.69135802469136,1.3342830009496676,9.531598265859683,1.75,23.878858474082705
21.0,female,151.0,43.0,16.2,66.0,75.0,30.0,20.0,62.0,36.0,21.0,76.0,43.0,21.8,24.0,27.0,18.6,18.85882198149204,1.3429858938615518,11.610000000000001,31.39,5.091881935002851,13.76694004648919,0.88,0.4370860927152318,22.419956561481428,113.46755151891924,8.7687,2.2,0.3225806451612903,0.5806451612903226,0.30303030303030304,1.05,0.6515151515151515,9.0,1.1515151515151516,10.728476821192052,43.25581395348838,1.6020671834625322,8.157536950133766,1.4814814814814816,23.841059602649008
40.0,male,170.0,99.0,20.0,121.0,117.7,43.1,39.6,65.0,44.0,27.3,105.0,42.8,23.0,45.0,35.0,43.1,34.256055363321806,2.1621748310439655,34.65,64.35,11.989619377162631,22.26643598615917,1.02803738317757,0.711764705882353,35.10104658078559,145.46741982558788,29.289623,2.807424593967517,0.6092307692307692,0.676923076923077,0.32727272727272727,0.6893939393939393,0.3537190082644628,-3.299999999999997,0.8677685950413223,11.76470588235294,43.535353535353536,1.243867243867244,14.913494809688583,2.25,25.882352941176475
47.0,m,160.0,63.2,17.0,81.0,115.0,42.8,34.9,52.0,33.0,34.0,97.0,42.0,25.1,,,25.7,24.687499999999996,1.6759740119968713,,,,,0.7043478260869566,0.50625,38.82217670615056,118.2387890242828,13.9312,1.8925233644859814,0.6711538461538461,0.6346153846153846,0.4308641975308642,0.9742120343839542,0.5185185185185185,34.0,1.1975308641975309,10.625,40.66455696202531,,10.039062499999998,,20.625
72.0,FEMALE,146.3,63.0,16.0,100.0,116.0,30.7,32.7,,,26.0,108.0,38.0,20.1,37.0,42.0,20.6,29.434177004058643,1.6000781230927446,26.459999999999997,36.540000000000006,12.362354341704629,17.071822662354016,0.8620689655172413,0.683526999316473,47.552838234834965,139.80586483990777,20.1792,3.257328990228013,,,0.327,0.7951070336391437,0.38,16.0,1.08,10.936431989063568,32.698412698412696,0.7785336356764929,9.624508671168382,2.3125,
38.0,m,187.0,107.6,17.0,99.0,111.5,41.0,42.0,71.0,37.0,29.0,107.0,50.3,24.4,43.6,32.0,45.7,30.770110669450077,2.364153595311062,34.432,73.16799999999999,9.846435414224025,20.92367525522605,0.8878923766816144,0.5294117647058824,25.602607107045486,119.7356191479461,19.711375,2.4146341463414633,0.5915492957746479,0.5211267605633803,0.42424242424242425,0.6904761904761905,0.508080808080808,12.5,1.0808080808080809,9.090909090909092,42.47211895910781,1.327253717472119,13.068718007377962,2.5647058823529414,19.786096256684495
29.0,female,163.0,63.0,15.8,86.2,104.0,,28.5,48.0,35.0,26.3,89.2,35.0,20.3,27.3,36.0,27.2,23.711844630960897,1.6889345754054537,22.68,40.32,8.536264067145922,15.175580563814973,0.8288461538461539,0.5288343558282209,31.974899876532255,127.20503311485373,15.082668000000002,,0.59375,0.7291666666666666,0.3306264501160093,0.9228070175438596,0.40603248259860786,17.799999999999997,1.0348027842227379,9.693251533742332,43.17460317460317,1.199294532627866,10.237494824795816,1.7278481012658227,21.472392638036812
