Age,Sex,Height_cm,Weight_kg,Wrist_cm,Waist_cm,Hip_cm,Neck_cm,UpperArm_cm,Thigh_cm,Calf_cm,Forearm_cm,Chest_cm,Shoulder_cm,Ankle_cm,Bicep_cm,BodyFatPct,MuscleMass_kg
30,Male,187,79.9,17,121,78,41.7,37.0,63,35,29,,41,22,34.1,21.3,29.4
58,m,182.0,90.0,20.2,109.7,125.0,41,50,60.0,41,28,108.0,35.0,25.0,41,33,35.5
29,f,165,42,16,55,1004.0,29.8,23,61.8,35.0,23,85.0,40.0,20.0,,27,21.8
42,f,160.0,49.6,17,102.3,,30.1,41,62,335.0,27.3,92,33.2,20.7,27,55.0,23.5
43,MALE,176.2,135.0,22.3,146.9,135,43.0,47.8,66,41,32,105.0,44.6,27,37.3,39,59.4
31,female,166,70.0,15,88,112,32,32,65.2,,20.0,72,38.1,20.0,,,
60,female,150.7,76.3,15,95.9,128.5,35,34.1,65.0,43.1,30.5,75,41.0,22.7,,45.0,35.3
53,m,180,84,17,104,97,40.0,40,61,44,33,113.1,43,25,37.4,20.0,38.5
54,F,165,88,17,92,105.1,34,29,54.7,41,27.1,95.0,40,17.8,30,38,40.1
20,male,65.6,73.7,17,101,90,32,31,58,38.5,31,115.0,41,22.1,33,24,
56,f,169.0,62,16.3,76.3,115.0,,30.7,60.5,37.2,21,87,37,21.5,26,36.3,
46,male,181.4,82.6,17,85.0,115.0,37.3,25.0,63.2,30,28,91,45.2,,36,30.0,39.1
38,m,172,80,19,98,101,35,35.0,57.3,39,29.5,107.7,47,23,,19.2,36.7
28,f,163,105.6,18,70,132.4,36,30.0,71,44.8,27,121,44,20,32,50.0,32.5
63,female,1151.0,84.2,17,95,115.0,38,34,65.0,39,25,85.0,39,20.7,34,45.1,
33,Female,164,70,14.9,93,,35.0,36,52.3,42,25.0,105.0,42,22.6,29.2,35.0,35.2
19,F,157,80.0,5.5,70.1,121,36.9,32,59.6,37,30.0,107.9,32.8,,40.0,39,
59,M,183,66,,71.3,94,30.0,39.0,21.3,42,29.6,105,41,23,35,25.7,28.9
58,female,160.0,91.8,15,113,130,27,40.5,6.0,38,27.8,73.8,40.0,20,30.2,46,38.3
72,MALE,179.7,110.0,20.0,111,115.0,38,31.0,56.0,37.7,,90.5,43.3,26,35.0,46,43.9
61,MALE,175.0,37,17,104,93.0,29.3,22.6,61,33.4,31,94,40.2,21,35.0,20.3,15.4
55,f,156,78,16,101.7,102.6,23,38.9,58,40.7,23,85.0,37.2,19.6,36.7,40,37.4
64,FEMALE,160,45,15,90.6,110,35.0,,60.0,40,27,90,37.6,21,27,27.2,
43,F,159.7,72,16,81,116.0,35.2,35,71,40.0,23.4,103,42,22,26.4,39,36.6
40,Male,183,94,19,105,112,35,38,,36,37,96,42.2,25.0,37.0,40.0,41.4
65,Male,184,95.0,7.6,122.8,106,41,35.0,50.0,41,30.4,115.0,35.0,25.1,37,31,31.9
43,Male,168,98,,120,125.0,41,35.0,56.1,42.8,35.0,110.0,45.0,25.3,16.7,31.8,
26,MALE,185,113.6,18.8,110.0,118,35.0,34,67,42,30,115,,26,36,27,
21,m,179.5,100.0,18.2,104,100,40,30.0,23.0,44.1,30.2,112.9,46.8,22,42,30,
33,Male,172,99,17,89,100.0,39.6,53.0,,39.5,32,90.4,50.7,24,32.4,24.8,40.7
45,f,162,89,15,138,109,35.0,34,68,44,26.6,97.9,42.4,25.0,34,45.0,
50,M,168,108,20.0,128,127,42.7,40,56,44,25.0,,44,,37,38.9,39.4
60,FEMALE,168.0,95.0,17,105.0,96,35.8,40.0,66,44,22,95.0,35.8,23.6,36,50,
32,MALE,175.0,118.6,19,1119.0,116,37,36.0,64,37,12.2,117,45,24,32,35,61.6
34,f,154,37,15.8,89.5,103,33,26.1,55.0,34,21.7,90.0,,20,26,25,
71,MALE,165.0,52.6,19,100.0,,36.5,35.0,55,37.7,31.8,94.8,39.7,25.0,25.4,27.6,27.0
51,Male,179.6,136.2,17,118.9,111,18.1,51,75,46,34,123,46.3,24,39,42,63.8
74,female,171,69.3,15.9,94,85.0,36,36,57,34.5,,,40.0,20,41.9,40.0,
44,Male,188,106,19.8,143.4,117.9,37.5,27,50.1,43,30,95.3,40.0,25.9,35,22.1,40.1
38,MALE,,78.8,17,,104.9,38,34,55.3,37.7,27,103.1,43.1,23,40,34.5,32.1
47,m,180,45.0,17,70.0,93,34,34.2,54,28,30,110.0,44,20.0,,4,20.7
62,Female,165.0,90.5,17,123,143,37,41,70,43.1,27,99,40,19,36.9,42,39.2
62,Female,165.0,90.5,17,124.2,143,38.1,41,70,43.1,27,99,40,19,36.9,42,40.2
35,f,162.1,80.0,14,105.4,147.8,32.8,28,63,33,21,101,48,20.9,32,55,35.7
49,F,167,56,6.7,,112.4,,27,58.1,31,52.0,86,42,21.3,38,43.3,22.3
45,F,160.0,83.8,18,106,105,35.4,41,71.7,38,28,97,37.2,24,35,63.0,36.0
19,m,185,135.7,,120.0,125,47.0,,68,38.2,35.0,111,46,24,48,33.4,59.0
38,Female,155.0,44.6,15.0,100.8,91,33,25.0,35,25,22,70.0,31.6,22,22,35.0,16.1
22,Female,164,87,15,75.9,125.5,30.0,31,64.1,40.0,28,106,40,21,30.2,,25.6
63,female,149.2,69.3,16,83,114.8,33,35.0,65.0,35.0,22.2,90.0,35.4,25,28,48,31.0
58,male,167,106.2,18,136,130.0,48,40.0,65.0,35,30.4,110.0,44,25.0,41,42.7,46.2
67,m,183,90.0,19,114,115,40,38,57,52,,82.6,41.2,20.0,37.4,30.0,30.4
26,male,167,79,18,77,103.1,40,27.6,61.2,41.4,29,154.7,41.7,27,43,30.0,
52,m,188.7,155,20.0,112,131,43.6,38,60.8,41,31,107,49.1,22.5,42,49,69.9
36,Female,170,121,17,100.9,119,37,42,75.0,41.1,25,90.0,35,26.2,41,53,48.4
57,male,186.7,122,17,125.0,124,45.0,32,65.0,40,33.9,100.0,44.1,24.6,40,30.0,52.6
40,FEMALE,66.5,71.5,15.0,88.3,,35,,60.0,40,20.9,100.5,37.4,21.3,29.6,53,28.8
56,Male,167.1,96,20.0,115.0,110.2,44,44,70.0,45,,118,44.7,25,40,52.0,37.4
70,f,145,35,14.9,26.8,84,30,27,44,37.3,22,85,35,18.5,33,40.0,
44,MALE,170,70.0,20,85,100.0,34.6,36.3,59,37.3,11.4,112,43.1,24,28.5,30,28.6
49,MALE,173,76,16,89,98,42,399.0,60.1,38.7,27,115.0,40,24.4,37,18,
53,male,179,70.0,19,90,117,41.5,31,58,33,27.3,123,41,26,31.0,32,29.6
35,M,180.0,85.0,16,92,133.2,33,32.8,62,35,29.3,85.0,40,25,36,27.5,24.2
20,MALE,179,72,16,71,95.0,40.0,27,54,40.0,,955.0,43,25,,23.2,38.1
61,f,155.0,109.6,16,,126,38,46,90.0,41,29,105.0,42.6,20,36.4,57,48.8
58,F,155.0,105.0,16,140,116.3,39,58,60,44.9,30.0,117,36,24,41,,39.0
49,m,190,124.7,19.8,106.4,,39,33.8,53.4,40,31,107.9,49.0,23,45.0,37,59.8
29,m,174,80,17,75.0,102.6,39,29.0,50.2,33,30,97,42.8,22.9,32,33,33.3
50,Female,164,103,18,131.9,101.4,38,30.0,70.6,40.0,24.5,94,40.0,20.0,33,45,
26,M,172,89,18,96.3,103.9,34,30.8,65,16.7,26.5,117,42,24,35,32,38.2
31,M,179,120.0,2.0,105.0,106,44.4,40.0,61,40,,114,50,25,35,39,39.1
46,f,154,55.7,14,93,129.8,,34.1,56,41,26,95,35.6,21,30.0,38,18.1
73,M,165.0,91,18,,109.7,40,36,75.0,41.6,27,119.8,50.0,23,34.6,21,39.2
54,female,154.2,80,16.9,141,114.5,34,46,51,,27,85,40,24,35,41,40.0
54,female,152.4,80,18.5,141,114.5,34,46,51,,28.0,85,40,24,35,41,40.0
18,female,163,55.1,17.1,87.7,99.2,31,29,59,,25,95.0,39,19,25,28.8,22.8
29,male,177,,20.0,41.7,108.2,40,29,50,40,28.5,145.8,30.0,27.1,48.6,,44.5
63,F,155.0,75.1,16,100,132.2,32.5,28.5,60,36,24.3,106,37,21,40.0,34,31.8
66,male,184,81.4,15.0,81,110,39,26.4,67,36.3,33,95,45.0,52.0,35,19,31.2
38,F,155.0,87.5,17,105,122,40.0,42,65.0,41,30.0,97.0,36,233.0,34,49,34.6
31,Male,175,105.0,18.8,110.0,114,38,38.6,65.0,40.0,30.0,97,41.1,25.7,42,37,38.3
31,M,175,69.6,17,106,90,43,25.8,64.0,35,35,96,46,25.6,13.8,29.7,
51,m,190.5,130.3,19.1,124,112,44.2,38,62.2,30.0,25.0,105,41,23.8,37.6,35.0,46.7
32,Female,165,65.0,16,112,109,34,39.2,46,39,22,82,29.799999999999997,21,28,25.0,29.2
35,F,167.1,64.7,16.5,90.0,132,30,27.1,72,34.8,,89,37,19.6,33.3,25.0,26.7
56,F,160,77,16,104,148.9,32,43,24.4,37,24.0,106,43.0,19,39,43,28.1
23,F,155,50.2,15.0,85.0,,31.4,34.0,51,35.0,25,80.0,40.5,12.0,26,28.5,
29,f,172,92.5,16.0,111,110,32.8,26.3,61,37.9,25.0,106,38,30.0,35.0,58,31.0
71,male,166,83,30.0,122,112.1,44,33,65.3,42,32.8,107,41,26,38.4,25.0,38.0
52,MALE,169,82.6,20.0,105.0,108,41.8,36,55,39.3,30.9,98,48.4,22.3,23,39,31.7
48,MALE,171,,18,89,107,35.0,44,54,43,30.0,125.0,42.5,24,39,31.3,
54,m,174,107.5,20.0,110.0,119.5,39,40,56,,31,128,45.0,24,39.8,40.0,40.7
33,f,164,83,13.7,88,113.6,35.0,43,53.8,44,25,90,37.8,24,36.8,46,
32.3,f,164,83,13.7,86.3,113.6,35.0,43,55.7,44,25,90,37.8,24,36.8,46,
74,female,59.1,35,14.8,90.0,78.0,31,36,52.8,36,26.2,80,35.6,22.3,22,33,
32,FEMALE,161,93.9,15,77,137.5,35,42,75,40.0,24,122,39,17,29,49.4,33.3
59,f,161,113,16,94.0,128,40,41.0,65,441.0,266.0,125.0,40,22,30,55.0,49.1
51,m,158.9,51,18.2,55,107,35,34.1,47,30.5,28,91,43.2,21.9,27,20.0,
58,Male,169,90,18,96.6,115,34,47,56,33.0,27.7,125.0,,25.0,37.7,15.1,38.5
39,female,170,71,14.4,78,149,36,29.9,65,38,24.1,83,30,19.8,30.0,23.2,29.4
28,Male,177.2,95,118.0,90.0,126,39.8,33,57.6,40.0,32,123.4,50,24.1,38.8,25.0,
70,male,170.0,144.3,20.0,106,95,43,35.0,55,37,53.0,95,47.7,,30.0,13.2,25.0
47,female,165,78,16,111,125.0,32,40,59,40.1,26,107,36,20.2,36.9,39,34.1
70,Female,150.0,55,16.2,102.9,115,30.8,27,59,35.0,25.0,82.9,40.0,25,29,29.2,23.8
72,Female,162,110,16,126.0,,38,44.9,70.5,43,28,94,36,22,4.0,44,44.0
23,M,170,49.3,17.8,68,85.0,31,26,55,35.0,30.0,100.4,36,23,36,6,16.1
54,Male,180.4,164.3,18,111.2,113,36,38,48,35,30.6,117.9,46,21,41,16.0,31.7
68,FEMALE,160,97.9,16,121.5,110,38.1,42,55.3,41,28.0,,37,,31.9,46.9,50.3
51,male,169.0,99,19,123,119,40.3,32.7,70.0,,34,101,46.2,8.7,40.6,30.5,43.4
49,FEMALE,164,195,15.0,170,175,44.5,60.0,84.9,45.2,31,132,43,24,55,,69.6
60,m,175,106,15.0,100.3,118.7,49,37.4,56,40.0,28.5,,50.0,22,,30.5,36.3
70,male,174.5,88.0,20,,91.0,41,31.0,61.4,33.4,29,117,44,20.9,41,17,47.1
50,Male,,69.3,18,125,104.4,49,29,51,40.0,29,98.6,40.7,22,40.0,4,32.8
43,f,145,69.7,16.2,114.7,96.0,36,35,41.5,37,28,95.0,38,31,37,46,27.0
44,FEMALE,162.0,100.0,15.4,105.0,172.5,35.9,45.0,73,41,25,111.4,38,24,25,44.7,46.7
36,Male,174,120,18.6,109,1332.0,46,35.2,71,45,29.8,134.1,45,23,40.0,41,
66,FEMALE,160,88,6.8,,143,38,47,66.4,35.0,29,105.0,44,25.0,41.4,52,
31,male,170.0,97,18,121,100.5,44.1,31.5,67.8,39.1,25.0,117,49,21,36.7,30,44.0
65,MALE,175.0,129,17,120,128.4,45,40.0,52,40,33,130.0,50.0,25,37.4,38.8,55.4
42,female,161,45.0,18,111.9,95,33,20.0,60.6,34,24.1,109,41,21,28,33,20.9
74,m,160,112,19,100,125,44,40.0,62.8,45.0,35,133,43,23.7,45.0,40,
23,female,166.9,72,15,93,118,35.8,40.0,,32.5,27.7,98.6,44.1,21.6,32,,26.2
72,FEMALE,153,84,17,59.0,115,35.6,33.1,57.4,45.7,25.0,105.0,39,20.0,38.5,39,41.3
24,Male,185.0,109,19,89.0,111,41,37,59,40.0,35.6,109,,26,36,27.7,37.5
42,female,164.3,130.2,17,128,120,40.0,,56,40,30.3,119.1,44,23.6,38.2,60,58.9
49,FEMALE,162,83.1,14.8,131.8,120.0,,51,71,35,25,74,35.0,21,33.8,39,
61,FEMALE,165,98,16,128,136.1,37,40.0,59.2,40,25.0,109,42,21.2,36,,46.9
26,M,180,122,20.1,95.6,118,43,73.0,61,40.0,29,97,44,24.1,38.2,38,41.1
69,MALE,,122,20.2,135.0,112.2,45.0,40,64.5,40,31,111,44,25,43.3,30.7,41.6
19,Male,185,108.7,18,95.0,89.7,39,39.2,58,45.2,31,120,45.7,24,466.0,43,43.4
69,MALE,174,90.0,71.0,124,117.1,39,42,62,40,31,138,42,21,33.5,30.0,39.9
72,Male,172,75.0,17,92,104,40.9,26,59,43,30.0,101.5,40.0,22,39.1,10.0,28.5
32,m,178.5,93,17.0,113,105.0,40.0,,70,36.2,30,,42,24,37.2,25.0,
57,Male,173,113,18.9,112.2,137,45.0,42.2,67.3,39,34.4,102,455.0,26,30.0,42,43.3
18,male,170.0,81.1,20.0,117,91,43,34,59.0,40,288.0,84,45,23.2,37,29.3,
60,F,157,75,5.7,79,107.8,12.6,25.0,57,39.6,25,110.0,443.0,22.2,33,42.4,26.1
20,male,172,99,19,101.3,108,43,,66.8,40.8,300.0,121,,25.5,35,25,43.3
39,FEMALE,169,75,16,66.7,87,34,22,,39,24,86.7,42,23,35,32.0,34.3
48,FEMALE,153,70.6,15.3,80,1441.0,39,33.6,,34.7,25,95.0,40.7,21.4,23,27,27.3
36,f,159.9,46,15.4,100,120,28.0,38,54.3,37,24.0,87.4,33.9,20,31,25.0,14.1
72,FEMALE,162,101,16,,106.3,,38.8,58.9,38,30.6,106,39.4,22,40.0,48,43.0
40,FEMALE,164.8,70.0,16,92,98,31.2,45.8,55.0,35,25.0,101.2,35.2,19.9,36,49,34.7
24,FEMALE,166.8,98,13.8,82,132,36,44,70,38.5,28,115.6,35.7,22,29.8,35.0,44.5
24,female,164,87,15.0,65.0,112,34,26,65.0,16.1,25,123,34,22.4,30.1,46,
32,f,166,63,15.0,88,120.0,31,30.2,66.3,40.0,25.0,38.1,41.6,24,30,41.9,26.6
49,F,160,65.8,26,69,111,33,37.7,56,35.1,30,95.0,40.0,23,32.9,25.1,
24,FEMALE,174.4,65.7,17,34.6,114,34,12.1,56.5,41,25,120.0,32,19,34,55.2,
66,female,168,75,15,90.3,120.0,33,35.0,59.4,39,25.0,77,36.6,22,36,42,29.6
58,f,160,107,16.9,121,136,36,36,52,42,28.1,104,39,23,30.3,47,44.2
27,female,163.4,77.2,17.4,107,,33,32.0,55.0,40.9,25.0,101,45.6,19,27.7,40.0,32.8
70,f,167,64.4,20.0,100,98,32,25,70,,26.5,100.0,36,21,30,44,31.3
27,female,155.2,117,16,118,102,40,40.0,73,48,29,119,38.8,21.2,45.6,53.7,
54,f,154.8,50.3,,74,75,29,35.0,60.0,39,23,100.2,40.0,22,33,40.0,19.9
58,Male,166,90.0,18.2,95,1333.0,41,38.4,74,38,27,107,44,25,36,38,35.3
49,MALE,169.1,77,20.0,97,115.0,40,32.1,553.0,38.2,34,103,40.0,24,33,17.1,34.8
40,Male,179,116,19.6,106.7,122,45.5,34.6,70.9,,29,123,44.5,22,43,36,39.3
35,Female,156,80.0,15,113.7,124,37,36.0,65,37.6,31.9,95.0,40,21,35.0,41,34.3
30,Female,166,80,15.0,120.0,92,33,35.5,59,40.8,25,93.5,34,,29.8,37.2,33.6
25,M,171,97,14.2,27.6,119,43,45.0,60,48,31,48.7,,23.4,41,22,37.4
31,F,159.9,60.0,15.0,56,94,27,35,45.0,43.0,25.0,,37,23,38.9,41,25.0
42,M,181,115.0,20.2,115.0,125.0,41,40.8,63.4,45,34,111,39,24,31,35,
42,M,181,115.0,20.2,115.0,125.0,39.9,40.8,63.4,45,34,111,39,24,32.7,35.7,
67,FEMALE,167,58.6,16,81,75,36,34,62,38,26.5,81.4,37,19.4,23,40,23.5
23,female,167,68,16,755.0,100,33,36,58,32,24,82.6,37,21.3,30.0,31,
57,F,157,53,15,95.4,95.5,35,,55.0,35.0,27,99,37,23,32.8,30.0,
31,F,169,106,15.0,105.0,114,35.0,18.1,64,40.0,25.0,111,335.0,20.0,38,42.9,48.4
27,Female,166.2,60,15.8,80.1,101,30,25,41,38,23,79,38,17.7,22,31,22.2
33,F,164,81,17,111,113.8,35,46,63,45.0,31.8,110,45,23,25,41,25.1
25,f,164,50.0,16,97,93,32,,52,31,27,98,43,21.7,28.7,32.5,17.4
55,Male,180.0,227.6,18.3,116.0,114,54.0,33.0,57,41,28,107.5,42,23,34.4,35.1,41.8
70,Male,179,84.3,17.6,87,109,35.0,30,45.0,34,30.0,125.0,47.2,24,36,31,38.1
31,FEMALE,165.0,80.6,14.2,121.7,105,34.7,41,63,35.0,25,101.3,,20.0,27,,37.1
73,F,158,74,15.0,120.0,90,35.9,30,72.8,39.0,21.8,86.8,40.1,22.1,30.0,35.7,32.9
26,Male,180.0,85.0,18,95.0,96,46,30,46.1,38,26,110.0,35.0,23,33.2,30.0,28.9
29,Male,180.1,95.0,19.6,102.5,116,40.0,36.5,61,16.1,29,105,43.1,26,37,45,33.6
72,f,145.0,40,14.4,109,111,32,35,51,40,19.2,68,30.0,7.9,28,34.0,13.6
54,female,172,111.4,14.7,,122.0,38,40,61,41,28,96,40,21,35,39,58.1
38,FEMALE,166,79.2,16,102.6,114.8,37.5,433.0,63,40.5,24,88,40,20,39,34,31.8
35,m,175.6,102,19,110,116,40.6,40.7,65,40.0,30.0,106,42,22,38.1,39,52.9
35,MALE,171,87.7,20,90.5,104.2,40,40.0,64,17.3,29,117,50.0,,41,25,
27,Female,160.5,35,17,70.0,88,29,20,,30.0,20.0,71.1,42,20.5,30,33,17.1
26,MALE,187,55.6,19,71.7,100.1,36.9,27.8,55.0,38,28,86,43,25.0,29,25,28.0
51,male,176.4,95.0,,101,121.6,40.5,35,,40,28.2,96,40.0,23,30,26,
44,MALE,178,260.2,20.0,125.0,121,41,35,60.6,40.0,13.8,121,45.0,22,39.8,24,51.2
32,female,157,73,16.9,29.1,116,35.0,29.2,65.5,38.4,28,96,46,24.9,40,34,
28,m,183.8,79,19,91,102.5,38,32.1,61,31.1,30.0,78,50.7,20.0,31.9,14.5,33.8
34,Male,160.0,73,20,90.0,104.3,40,28.9,75.0,41,25.0,82,37.2,21.3,40.0,6,27.0
42,female,170.0,122,16,165.0,116.7,37.6,51,67,36,27,108,40,24,39,48.0,50.9
35,FEMALE,157,82.3,15.6,97,95,38,40.0,65,42.3,25,114.7,333.0,25.0,36,45.1,38.7
47,female,163.1,93.5,15,102,101.4,31.2,48.9,60.0,40.0,27,101,40,25.0,33.7,47.4,43.3
54,Male,170.0,101,18,138,130,38,42,67.6,44,28.1,93,50.0,,43,39,46.7
46,m,171,92,17,88,117,37.2,30,53,40.2,32,111.5,50.0,25.0,45,45.0,34.7
53,MALE,195.7,132,20.0,107.2,115.0,37,35.0,69.4,35.0,33,110.9,40,23.8,17.9,21,59.9
56,Female,160.0,77,15.0,98.0,106.4,31.3,45,59,32,,117,40,22,32,45,
44,M,181,82,19,91,90,43,30.0,60.0,42,28.6,137,45.0,25.7,38,14,37.4
59,m,168,102,20,121,129,35.9,38,66.5,38,11.8,100.0,29.200000000000003,26.7,37,50.0,37.9
37,MALE,180,85.0,15.0,,110,440.0,31,54,35.0,27,45.3,44,25.0,13.4,45,27.8
59,MALE,175,110.0,18,126.5,115.0,37.1,39.8,70,45,35.0,115.0,42.2,19.8,39,41,
40,Female,163,65.0,15.0,128,120.0,30.0,34,56.1,,27,94,40.0,20,25.0,25.0,22.5
71,F,153.3,100.0,15.7,116,97,37,36,62,44,25.0,100.2,46.6,22.5,28,54.8,46.2
58,male,168.1,120.0,17.8,137,123,47,40.4,,46,32.3,162.0,45.0,24,39.4,39,52.7
