Age,Gender,Weight(Kg),Height(cm),Muscle(%),Body Fat(%),Daily Average Calorie Intake,Daily Average Protein Intake(g),Daily Average Fat Intake(g),Daily Average Carb Intake(g),Daily Average Sugar Intake(g),Exercise per week,Waist circumference (cm),Hip circumference (cm)
58,0,71,178,50,25,-258,99,-7,-148,-32,2,30,41
33,0,52,157,52,31,-290,78,-8,-132,-32,3,25,28
65,0,52,161,49,24,-354,88,-10,-154,-30,5,10,25
23,0,43,150,73,13,-225,56,-6,-99,-25,1,14,21
52,0,63,167,52,25,-258,88,-7,-137,-29,2,30,30
61,0,53,157,52,22,-322,85,-9,-145,-26,4,14,33
33,0,50,154,53,30,-258,70,-7,-119,-19,2,17,27
26,0,61,172,51,34,-193,73,-5,-110,-18,0,27,38
55,0,57,167,43,34,-290,86,-8,-140,-38,3,19,28
29,0,40,148,58,26,-193,48,-5,-85,-18,0,21,23
25,0,55,157,60,25,-193,66,-5,-103,-21,0,23,23
43,1,66,174,77,9,3383,112,94,522,106,5,39,38
31,1,74,180,79,10,2744,104,76,411,81,2,20,35
62,0,45,155,42,34,-225,58,-6,-101,-13,1,24,37
26,1,64,167,78,12,2182,83,61,325,61,1,27,27
64,0,74,175,41,34,-258,104,-7,-153,-25,2,26,27
62,0,66,161,41,35,-225,86,-6,-129,-24,1,25,36
48,0,43,157,46,33,-258,60,-7,-109,-28,2,18,18
51,0,62,160,63,13,-193,74,-5,-111,-22,0,32,37
19,1,98,198,77,14,2978,127,83,431,83,1,42,48
62,0,41,154,44,31,-225,53,-6,-96,-26,1,14,21
63,1,63,165,66,16,1622,76,45,228,51,0,17,26
61,1,77,179,68,14,3495,131,97,524,106,5,30,23
21,0,60,166,63,23,-258,84,-7,-133,-23,2,21,28
27,1,70,166,75,15,2894,105,80,438,73,3,28,29
58,0,58,165,53,22,-290,87,-8,-142,-31,3,23,37
66,0,67,167,35,41,-290,100,-8,-154,-35,3,30,41
22,1,78,183,70,21,3274,117,91,497,96,3,36,32
73,1,68,172,62,17,2232,95,62,324,66,2,31,48
27,1,56,163,75,15,2318,78,64,358,67,2,29,40
60,1,58,169,68,14,1878,75,52,278,69,1,22,29
74,0,65,173,47,23,-225,84,-6,-127,-29,1,19,46
30,0,56,164,50,34,-386,101,-11,-173,-38,6,25,35
23,1,65,174,80,10,2930,98,81,452,90,3,33,37
25,1,60,177,83,7,2855,90,79,446,85,3,15,33
28,0,64,155,59,25,-290,96,-8,-150,-26,3,27,35
24,1,68,174,85,5,3966,122,110,622,124,6,22,32
18,0,77,176,71,16,-225,100,-6,-143,-23,1,30,31
23,1,98,188,77,13,2863,127,80,409,81,1,44,47
21,0,67,156,62,24,-354,114,-10,-180,-35,5,27,36
60,0,39,145,41,35,-258,55,-7,-104,-27,2,7,28
62,0,63,158,43,32,-225,82,-6,-125,-35,1,25,40
26,0,55,156,71,14,-225,72,-6,-115,-27,1,24,36
32,1,52,173,77,11,2892,83,80,460,92,4,31,31
25,1,73,169,73,17,2666,102,74,398,80,2,23,37
30,1,69,177,77,12,2642,97,73,399,86,2,33,37
24,1,68,181,75,15,2036,82,57,299,58,0,26,35
44,1,61,177,68,18,2402,85,67,365,69,2,25,33
25,0,57,165,67,18,-193,68,-5,-105,-25,0,13,33
27,0,61,169,76,8,-258,85,-7,-134,-24,2,20,31
20,1,74,171,85,6,2399,96,67,353,74,1,41,23
26,1,68,181,75,15,3710,116,103,580,111,5,26,31
31,1,58,165,80,9,2922,93,81,455,86,4,36,31
25,0,61,170,64,21,-290,92,-8,-146,-31,3,22,38
26,1,68,171,84,6,2923,102,81,446,85,3,34,40
60,0,62,171,45,31,-225,81,-6,-124,-24,1,27,33
22,0,68,166,74,12,-290,102,-8,-156,-26,3,21,24
30,0,65,157,62,21,-225,84,-6,-127,-22,1,23,39
60,1,59,177,59,24,2242,83,62,338,76,2,25,28
25,1,69,185,77,13,2417,90,67,364,72,1,42,32
57,1,73,176,70,13,2170,95,60,312,64,1,32,39
64,0,46,160,46,28,-193,55,-5,-92,-18,0,23,38
53,1,49,157,71,12,1696,64,47,254,59,1,19,24
59,0,63,167,50,25,-322,101,-9,-161,-30,4,24,34
26,0,53,166,65,20,-225,69,-6,-112,-23,1,27,15
26,0,51,163,66,19,-322,82,-9,-142,-25,4,26,19
64,1,66,173,65,16,2282,92,63,337,73,2,23,34
23,0,58,171,67,19,-225,75,-6,-118,-27,1,26,18
39,0,78,169,58,23,-193,94,-5,-131,-25,0,23,34
18,0,56,162,67,20,-225,73,-6,-116,-27,1,19,28
23,1,65,164,77,13,3130,104,87,483,92,4,37,34
23,0,61,160,60,26,-290,92,-8,-146,-36,3,23,31
26,1,70,178,77,13,4050,126,112,634,128,6,31,35
26,0,64,159,71,14,-290,96,-8,-150,-27,3,27,38
28,1,80,180,80,9,2506,104,70,365,73,1,34,40
49,0,63,155,50,28,-225,82,-6,-125,-25,1,31,46
66,1,68,173,64,17,2298,95,64,336,71,2,37,39
69,1,53,165,61,20,2198,80,61,332,61,3,31,24
62,1,51,169,71,10,2270,76,63,350,65,3,31,33
27,0,54,164,56,28,-419,103,-12,-181,-33,7,21,52
56,0,51,176,52,23,-258,71,-7,-120,-22,2,18,23
27,1,73,179,80,10,2062,88,57,299,56,0,25,35
64,1,53,176,71,10,2367,80,66,363,77,3,26,24
24,0,53,154,61,24,-225,69,-6,-112,-21,1,19,36
66,1,74,173,60,22,2095,96,58,297,55,1,37,36
55,0,62,161,48,28,-225,81,-6,-124,-33,1,27,26
21,0,66,172,79,8,-258,92,-7,-141,-34,2,24,32
59,0,69,171,55,19,-225,90,-6,-133,-30,1,34,31
19,1,75,180,84,7,2499,98,69,372,75,1,40,32
62,0,56,159,47,27,-290,84,-8,-138,-30,3,18,33
57,0,51,151,49,27,-225,66,-6,-109,-18,1,19,36
23,0,57,165,61,25,-225,74,-6,-117,-25,1,17,38
28,1,59,169,79,10,1814,71,50,270,56,0,23,30
28,1,63,173,84,5,2522,88,70,385,72,2,25,19
20,0,60,162,71,16,-290,90,-8,-144,-29,3,21,33
53,1,82,173,71,12,2298,107,64,324,68,1,30,46
52,1,83,188,73,11,2450,108,68,352,67,1,34,38
72,0,65,160,42,30,-258,91,-7,-140,-26,2,27,45
22,0,74,173,55,31,-258,104,-7,-153,-27,2,23,45
24,0,72,163,70,15,-225,94,-6,-137,-35,1,33,45
23,1,74,182,79,11,2828,104,79,425,80,2,26,32
28,1,61,178,71,18,2540,85,71,390,79,2,23,27
24,0,53,163,60,25,-225,69,-6,-112,-26,1,24,29
27,1,81,185,83,6,2571,105,71,378,79,1,40,38
66,1,72,179,74,6,1816,86,50,256,48,0,27,30
28,0,59,166,54,30,-225,77,-6,-120,-24,1,24,17
57,0,64,159,41,36,-354,109,-10,-175,-36,5,28,42
23,1,44,171,76,14,1958,57,54,311,59,1,18,20
22,1,59,172,71,20,2184,77,61,332,63,1,21,33
21,1,74,174,72,19,3455,118,96,530,113,4,33,30
26,0,51,161,56,29,-225,66,-6,-109,-28,1,22,41
21,0,53,158,73,13,-290,80,-8,-134,-22,3,34,26
61,1,75,168,74,7,2400,105,67,344,72,2,41,38
24,0,78,172,63,22,-258,109,-7,-158,-30,2,34,59
23,0,55,161,69,17,-225,72,-6,-115,-16,1,24,36
57,1,95,179,69,14,2862,133,80,402,74,2,42,51
18,0,61,165,71,16,-225,79,-6,-122,-24,1,23,42
56,0,48,165,42,35,-354,82,-10,-148,-37,5,21,25
23,1,70,167,70,20,4248,133,118,664,134,7,35,32
66,1,56,166,61,20,2290,84,64,344,69,3,16,28
25,0,50,168,55,30,-225,65,-6,-108,-22,1,26,34
29,1,82,190,82,7,3362,123,93,508,106,3,51,39
74,1,62,168,62,17,2871,105,80,433,85,5,35,33
18,0,54,155,71,16,-225,70,-6,-113,-10,1,26,35
25,0,57,168,69,16,-419,108,-12,-186,-35,7,28,18
26,0,62,176,64,21,-290,93,-8,-148,-23,3,32,25
50,1,67,176,68,17,2745,100,76,415,85,3,38,30
19,0,60,166,57,30,-354,102,-10,-168,-32,5,23,26
20,1,65,176,78,13,2648,91,74,404,76,2,46,34
21,1,67,186,82,9,3465,107,96,543,112,4,24,39
66,0,59,159,39,36,-386,106,-11,-178,-30,6,27,32
29,0,70,172,58,26,-225,91,-6,-134,-30,1,26,54
28,0,52,159,76,8,-225,68,-6,-111,-26,1,18,33
47,1,83,172,69,16,2345,108,65,332,63,1,43,40
29,1,87,185,83,6,2641,113,73,383,77,1,38,39
65,0,63,160,42,33,-258,88,-7,-137,-21,2,15,40
25,1,75,178,76,14,2440,98,68,359,74,1,39,49
20,0,64,160,61,25,-290,96,-8,-150,-29,3,25,23
61,1,79,178,57,26,4166,150,116,630,132,7,24,47
25,0,61,163,55,30,-258,85,-7,-134,-31,2,26,29
51,0,79,186,57,19,-258,111,-7,-160,-36,2,28,64
72,1,84,180,58,23,2576,118,72,364,73,2,41,37
24,0,58,153,61,24,-225,75,-6,-118,-21,1,17,26
29,1,74,176,73,16,2380,96,66,350,64,1,35,35
19,1,46,172,87,5,3757,87,104,618,125,7,14,11
23,0,54,163,59,27,-258,76,-7,-125,-20,2,14,25
32,1,64,172,75,13,2496,90,69,379,76,2,33,33
58,1,65,177,71,11,3237,110,90,497,99,5,28,34
26,1,85,178,78,12,2205,102,61,312,63,0,45,44
68,1,58,180,53,29,2740,93,76,421,82,4,23,40
74,0,35,160,34,40,-225,46,-6,-89,-17,1,18,27
61,1,87,191,61,22,3175,130,88,466,93,3,45,40
21,1,59,172,79,12,2817,88,78,441,85,3,31,29
24,0,50,151,69,16,-322,80,-9,-140,-26,4,23,42
21,0,56,155,66,20,-225,73,-6,-116,-27,1,19,29
74,0,65,158,44,27,-290,98,-8,-152,-36,3,18,50
24,1,64,170,75,15,3493,109,97,546,114,5,38,39
48,0,69,161,50,28,-225,90,-6,-133,-32,1,30,45
52,1,61,184,75,8,3010,98,84,466,89,4,33,31
59,0,51,162,44,32,-354,87,-10,-153,-35,5,17,40
63,0,59,171,41,34,-290,88,-8,-142,-30,3,27,36
65,1,56,182,63,18,2480,84,69,381,66,3,25,25
28,0,69,169,59,25,-258,97,-7,-146,-27,2,29,30
24,0,69,163,61,24,-290,104,-8,-158,-31,3,36,35
55,1,57,173,65,19,2210,80,61,335,65,2,20,19
18,1,42,166,72,19,1921,55,53,306,63,1,19,20
27,1,63,171,83,6,2510,88,70,382,80,2,26,40
23,1,69,178,83,7,2708,97,75,411,83,2,35,27
49,0,63,158,58,19,-290,94,-8,-148,-36,3,29,26
40,0,49,156,50,31,-258,69,-7,-118,-25,2,21,24
60,0,75,159,41,35,-225,98,-6,-141,-27,1,36,42
59,1,82,177,61,22,2291,107,64,322,67,1,33,42
21,0,52,154,64,22,-322,83,-9,-143,-28,4,24,28
18,0,62,169,60,27,-225,81,-6,-124,-20,1,26,30
54,1,69,182,67,17,2500,97,69,373,75,2,27,33
48,1,62,163,73,12,2246,87,62,335,66,2,19,41
21,0,78,171,78,9,-322,125,-9,-185,-44,4,22,42
24,0,66,153,72,13,-419,125,-12,-203,-46,7,25,32
78,1,56,171,60,19,2239,84,62,336,72,3,23,32
63,1,62,164,66,16,2136,87,59,314,65,2,18,38
21,0,51,153,66,20,-290,76,-8,-130,-29,3,27,13
21,0,52,162,68,18,-193,62,-5,-99,-15,0,26,26
52,1,50,163,73,11,1769,65,49,267,61,1,29,28
28,1,59,176,82,7,2799,88,78,436,86,3,26,21
23,1,71,179,81,9,4469,135,124,703,151,7,30,28
78,0,66,176,40,30,-258,92,-7,-141,-24,2,33,30
31,1,68,167,75,14,2203,88,61,326,61,1,34,32
55,0,58,164,48,29,-225,75,-6,-118,-28,1,34,30
27,0,70,158,63,21,-386,126,-11,-198,-38,6,23,29
23,0,85,176,61,25,-225,110,-6,-153,-33,1,33,47
58,0,62,162,48,28,-322,99,-9,-159,-32,4,18,36
25,0,56,168,55,30,-290,84,-8,-138,-31,3,16,37
18,1,68,176,86,6,2712,95,75,414,86,2,27,34
52,0,63,176,50,27,-258,88,-7,-137,-17,2,27,32
56,0,63,173,38,40,-419,120,-12,-198,-34,7,25,35
70,1,64,181,66,14,2852,102,79,433,97,4,35,36
28,1,109,188,72,17,3408,153,95,485,104,2,46,56
27,1,62,172,78,12,3756,112,104,593,119,6,33,24
66,0,66,170,41,33,-193,79,-5,-116,-23,0,31,16
23,0,46,180,68,18,-290,69,-8,-124,-20,3,19,23
28,1,67,177,76,13,2298,87,64,344,70,1,33,34
27,1,70,171,76,14,3278,112,91,503,103,4,37,47
28,1,71,188,70,19,2450,92,68,368,81,1,34,31
62,1,74,181,65,17,2193,96,61,315,67,1,28,43
19,1,85,188,77,14,3096,119,86,462,94,2,37,47
28,0,51,161,60,24,-258,71,-7,-120,-19,2,26,24
27,0,66,166,56,28,-354,112,-10,-178,-32,5,18,22
27,0,46,165,59,25,-258,64,-7,-113,-18,2,21,31
23,1,76,174,85,6,2780,106,77,416,78,2,45,50
51,1,68,187,66,18,2558,95,71,385,82,2,37,31
55,1,72,185,73,10,2249,94,62,329,68,1,25,39
25,1,45,169,76,14,2218,63,62,352,63,2,17,26
23,0,57,164,61,25,-419,108,-12,-186,-41,7,25,24
60,1,63,168,55,28,1939,82,54,281,46,1,40,21
59,0,49,161,46,30,-225,64,-6,-107,-32,1,24,24
42,0,79,162,55,25,-258,111,-7,-160,-32,2,28,41
28,0,71,167,66,18,-193,85,-5,-122,-27,0,23,31
29,0,59,152,60,24,-225,77,-6,-120,-15,1,28,39
27,1,60,167,82,8,3028,96,84,472,98,4,37,35
32,1,59,173,78,10,2426,83,67,373,79,2,26,40
47,0,50,164,52,27,-193,60,-5,-97,-19,0,15,29
25,1,80,189,67,23,3350,120,93,508,98,3,38,37
61,1,49,168,62,21,2480,78,69,387,70,4,18,24
40,1,72,182,76,10,3658,122,102,563,113,5,30,32
23,0,55,150,71,15,-258,77,-7,-126,-24,2,27,30
30,0,66,174,63,20,-290,99,-8,-154,-33,3,30,51
25,0,66,168,65,20,-258,92,-7,-141,-30,2,33,42
23,1,87,187,75,15,2314,104,64,330,62,0,35,34
72,1,88,193,61,19,2770,123,77,396,88,2,51,45
22,1,84,174,81,10,2552,109,71,369,82,1,38,32
54,1,66,186,70,13,3115,106,87,477,100,4,30,23
50,0,67,170,51,27,-225,87,-6,-130,-26,1,29,28
23,0,64,163,61,25,-290,96,-8,-150,-35,3,23,31
30,0,58,169,51,33,-193,70,-5,-107,-14,0,21,34
19,0,44,153,55,32,-290,66,-8,-120,-21,3,26,21
57,1,58,166,76,6,1872,75,52,276,62,1,26,28
30,1,57,180,75,14,2170,74,60,334,62,1,19,33
62,1,76,174,68,13,2468,106,69,356,70,2,35,44
19,0,76,163,71,16,-258,106,-7,-155,-34,2,36,46
25,0,61,163,57,28,-225,79,-6,-122,-26,1,27,38
60,1,64,182,69,13,2076,83,58,306,62,1,28,31
30,1,52,168,79,10,3705,99,103,596,120,7,24,28
31,1,60,164,75,14,2065,78,57,310,53,1,26,23
58,0,39,154,46,30,-386,70,-11,-142,-28,6,29,27
51,1,80,172,65,19,4225,152,117,641,125,7,31,41
52,0,66,171,54,22,-193,79,-5,-116,-15,0,26,30
24,0,80,168,64,21,-258,112,-7,-161,-22,2,32,28
43,1,71,187,71,15,2002,85,56,290,47,0,39,39
33,0,62,148,60,22,-290,93,-8,-148,-29,3,26,33
64,0,62,171,43,32,-290,93,-8,-148,-39,3,23,24
26,1,56,169,77,13,2088,73,58,318,66,1,29,28
71,1,67,170,66,14,1935,87,54,275,57,1,33,36
65,0,59,174,35,41,-225,77,-6,-120,-28,1,14,22
25,1,61,180,83,7,2584,85,72,399,76,2,26,36
19,0,57,164,66,21,-225,74,-6,-117,-33,1,25,43
27,0,65,155,63,21,-193,78,-5,-115,-15,0,30,46
22,1,68,164,80,11,2880,102,80,438,91,3,29,33
49,1,68,181,67,18,1886,82,52,272,65,0,27,34
53,1,76,182,69,15,3275,122,91,492,104,4,33,34
47,1,86,173,63,23,3422,138,95,504,105,4,50,38
40,1,56,175,74,13,2334,78,65,359,78,2,18,29
18,1,80,176,82,10,2541,104,71,372,68,1,28,37
45,0,77,178,49,31,-225,100,-6,-143,-31,1,22,39
19,1,73,176,78,13,2436,95,68,361,71,1,33,26
21,1,55,178,74,17,2812,82,78,446,88,3,26,23
25,1,54,162,78,12,2292,76,64,353,70,2,35,29
28,0,58,153,56,28,-225,75,-6,-118,-23,1,22,34
59,0,70,166,42,35,-290,105,-8,-160,-38,3,29,27
19,0,73,180,61,26,-354,124,-10,-190,-35,5,37,43
21,0,49,157,60,26,-290,74,-8,-128,-18,3,17,18
22,1,71,175,84,7,2718,99,76,410,77,2,31,37
51,1,75,181,78,5,3262,120,91,491,94,4,36,32
63,1,72,170,66,15,2062,94,57,293,56,1,21,42
22,0,44,167,67,19,-290,66,-8,-120,-23,3,17,16
29,0,63,169,54,30,-225,82,-6,-125,-33,1,35,46
18,0,58,169,73,14,-258,81,-7,-130,-24,2,26,31
28,0,58,168,63,21,-290,87,-8,-142,-25,3,27,36
60,0,60,161,48,27,-225,78,-6,-121,-23,1,26,30
47,1,78,179,75,10,2002,94,56,280,59,0,29,37
26,0,70,170,69,16,-258,98,-7,-147,-23,2,23,36
50,1,46,178,74,10,1858,60,52,288,56,1,25,27
31,1,71,178,67,22,2342,92,65,347,73,1,34,42
23,1,50,189,71,19,3142,80,87,510,99,4,17,31
26,0,58,156,62,23,-225,75,-6,-118,-18,1,27,55
58,0,55,151,49,26,-354,94,-10,-160,-35,5,15,23
20,0,70,175,61,25,-225,91,-6,-134,-24,1,27,19
55,0,43,158,47,30,-193,52,-5,-89,-20,0,27,20
26,0,56,164,60,25,-225,73,-6,-116,-22,1,28,33
27,0,53,159,61,23,-225,69,-6,-112,-26,1,19,40
29,0,47,170,60,24,-193,56,-5,-93,-13,0,24,32
66,1,65,182,68,12,2925,104,81,445,77,4,27,30
33,1,47,170,83,5,2196,66,61,346,65,2,31,24
41,1,73,180,70,16,3972,131,110,614,118,6,37,56
18,1,53,169,79,13,2102,69,58,326,61,1,18,22
28,0,69,167,75,9,-225,90,-6,-133,-26,1,24,44
28,1,61,175,77,12,3138,98,87,491,98,4,32,32
32,0,43,164,60,23,-225,56,-6,-99,-16,1,19,27
26,1,52,171,76,14,2049,68,57,316,63,1,21,27
25,0,78,186,56,29,-386,140,-11,-212,-40,6,28,26
24,0,42,158,56,29,-225,55,-6,-98,-18,1,25,24
21,1,73,178,80,11,4530,139,126,710,140,7,24,33
53,0,62,178,47,30,-225,81,-6,-124,-29,1,23,29
22,0,62,157,56,30,-258,87,-7,-136,-29,2,18,35
28,1,43,175,80,9,1944,56,54,308,65,1,32,28
25,1,82,182,70,20,3308,123,92,497,109,3,27,33
58,0,55,163,48,28,-322,88,-9,-148,-32,4,13,35
30,0,73,163,60,23,-258,102,-7,-151,-32,2,32,27
27,1,48,169,77,13,2250,67,62,356,63,2,18,24
22,1,84,185,79,12,4917,160,137,761,156,7,33,44
23,0,47,165,64,22,-225,61,-6,-104,-21,1,22,13
19,1,56,169,80,11,2442,78,68,380,77,2,27,40
27,1,59,176,68,22,2496,83,69,386,76,2,14,39
26,1,79,176,78,12,3530,126,98,536,100,4,42,46
30,1,58,172,79,10,1812,70,50,270,53,0,25,38
30,0,62,166,57,27,-225,81,-6,-124,-25,1,23,40
23,0,42,157,72,14,-225,55,-6,-98,-20,1,22,23
48,0,56,166,46,33,-225,73,-6,-116,-19,1,24,35
51,0,49,163,59,17,-193,59,-5,-96,-24,0,15,30
23,0,64,167,74,12,-193,77,-5,-114,-14,0,26,35
27,0,50,159,55,29,-225,65,-6,-108,-25,1,18,39
45,1,54,158,63,23,2615,86,73,404,80,4,20,24
50,0,51,157,53,24,-419,97,-12,-175,-35,7,19,33
60,1,63,170,64,18,1956,82,54,286,56,1,32,41
25,0,61,165,67,18,-225,79,-6,-122,-28,1,18,29
24,1,75,177,79,11,4527,142,126,706,133,7,18,46
30,1,85,183,74,15,2588,110,72,375,82,1,30,39
25,0,65,161,60,25,-193,78,-5,-115,-20,0,24,40
28,0,63,157,68,16,-225,82,-6,-125,-25,1,35,22
24,0,68,176,54,31,-193,82,-5,-119,-22,0,34,32
28,0,74,173,72,12,-225,96,-6,-139,-19,1,29,37
48,0,64,154,51,27,-225,83,-6,-126,-22,1,21,38
